Names	total	elements
TargetScan8.0__miR-106-5p.txt TargetScan8.0__miR-144-3p.txt TargetScan8.0__miR-33a-5p.txt TargetScan8.0__miR-33b-5p.txt TargetScan8.0__miR-758-3p.txt	5	 

		 S C N 1 A  
		 S N T B 2  
		 K P N A 3  
		 T S C 2 2 D 2  
		 A B C A 1  
TargetScan8.0__miR-106-5p.txt TargetScan8.0__miR-144-3p.txt TargetScan8.0__miR-33a-5p.txt TargetScan8.0__miR-33b-5p.txt	37	 

		 S A L L 1  
		 D E N N D 5 B  
		 S Y N C R I P  
		 U S P 3 2  
		 Z C 3 H 1 2 C  
		 C C D C 1 4 4 A  
		 T A N C 2  
		 P U R B  
		 T E T 2  
		 R O R A  
		 T C F 4  
		 R G M A  
		 C R K  
		 R G S 1 7  
		 W D F Y 3  
		 S H A N K 2  
		 Y T H D F 3  
		 P A N K 3  
		 N U F I P 2  
		 F R S 2  
		 F A M 1 2 6 B  
		 R O R B  
		 U S P 4 6  
		 C T D S P L 2  
		 B C L 1 1 B  
		 C P E B 3  
		 S R G A P 1  
		 N A A 3 0  
		 F A M 2 2 2 B  
		 C E L F 2  
		 C R E B R F  
		 P T G F R N  
		 Q K I  
		 U S P 6  
		 U B N 2  
		 P D E 3 B  
		 R A B 3 0  
TargetScan8.0__miR-106-5p.txt TargetScan8.0__miR-33a-5p.txt TargetScan8.0__miR-33b-5p.txt TargetScan8.0__miR-758-3p.txt	10	 

		 D D X 5  
		 G P R 3 7  
		 D G K H  
		 C A M K 2 N 1  
		 N C O A 3  
		 A S X L 2  
		 Z F P M 2  
		 G A L N T 1 0  
		 E R C 1  
		 S 1 P R 1  
TargetScan8.0__miR-144-3p.txt TargetScan8.0__miR-33a-5p.txt TargetScan8.0__miR-33b-5p.txt TargetScan8.0__miR-758-3p.txt	4	 

		 T M E M 6 5  
		 B A C H 2  
		 M E I S 2  
		 S T R N  
TargetScan8.0__miR-106-5p.txt TargetScan8.0__miR-33a-5p.txt TargetScan8.0__miR-33b-5p.txt	87	 

		 C D K 6  
		 K I F 1 B  
		 N E U R O G 2  
		 P L E K H A 8  
		 P C D H A 1  
		 H S P A 8  
		 P I P 4 K 2 C  
		 F G F 1 2  
		 C R O T  
		 P C D H A 1 3  
		 M A P 3 K 1  
		 S L C 6 A 5  
		 K C N S 2  
		 M A P 3 K 3  
		 N P A T  
		 S K I  
		 S T X B P 5  
		 S E P T 7  
		 F A M 4 6 C  
		 M O R F 4 L 1  
		 H M G A 2  
		 R L I M  
		 B A G 2  
		 S T Y X  
		 T R P S 1  
		 C S R N P 3  
		 T B C E L  
		 T R P M 3  
		 P C D H A 1 2  
		 S T 8 S I A 3  
		 H A S 2  
		 P P P 6 C  
		 P C D H A 5  
		 S T R B P  
		 A B H D 2  
		 P C D H A 3  
		 S I K 1  
		 D L G A P 2  
		 A L X 4  
		 A T X N 7 L 1  
		 P C D H A 4  
		 P C D H A 1 1  
		 D C A F 8  
		 P C D H A 1 0  
		 U N K  
		 P C D H A 6  
		 P C D H A C 2  
		 P F N 2  
		 M Y T 1 L  
		 T S P A N 9  
		 K P N A 4  
		 C 2 o r f 6 9  
		 N R 4 A 2  
		 P C D H A 2  
		 P C D H A 9  
		 S E M A 7 A  
		 O N E C U T 3  
		 E I F 5 A 2  
		 L H X 6  
		 S L C 2 4 A 4  
		 C A D M 2  
		 T B C 1 D 1 5  
		 P C D H A 8  
		 I Q S E C 2  
		 S L I T R K 3  
		 P C D H A C 1  
		 S E T D 7  
		 T R P C 4  
		 U B R 5  
		 K L H L 1 5  
		 P C D H A 7  
		 P L E K H A 3  
		 T N R C 6 C  
		 P D G F R A  
		 D N A J C 1 5  
		 M T F 1  
		 R E E P 3  
		 S M A D 7  
		 T W I S T 1  
		 R I M S 2  
		 S N X 9  
		 F Y N  
		 N T N 1  
		 S A M D 8  
		 G I G Y F 1  
		 R N F 1 2 8  
		 E P H A 4  
TargetScan8.0__miR-144-3p.txt TargetScan8.0__miR-33a-5p.txt TargetScan8.0__miR-33b-5p.txt	92	 G A B R B 2  
		 Z F H X 4  
		 R A S E F  
		 T E S  
		 F A M 1 7 9 B  
		 K C N D 3  
		 S O C S 5  
		 O N E C U T 2  
		 F S T  
		 E S C O 1  
		 P A P O L G  
		 M A P K 6  
		 F O X P 1  
		 D P P 1 0  
		 R P G R I P 1 L  
		 M E I S 1  
		 A D A M T S 3  
		 E S R R G  
		 A N K 3  
		 S Y T 1 4  
		 S E S T D 1  
		 R A S A 1  
		 P T B P 3  
		 T M 9 S F 3  
		 P I M 1  
		 K I A A 1 0 2 4  
		 R F X 3  
		 Z C C H C 1 4  
		 S T 1 8  
		 S H 2 B 3  
		 C H N 2  
		 H M G C R  
		 K M T 2 E  
		 N O V A 1  
		 D S T  
		 K A T 6 B  
		 P A L M 2 - A K A P 2  
		 A D C Y A P 1  
		 A K A P 2  
		 F A M 8 4 A  
		 N C O A 2  
		 P C D H 1 8  
		 C C D C 8 5 A  
		 T H A P 1  
		 A R I D 5 B  
		 P J A 2  
		 C T B P 2  
		 E B F 1  
		 M D M 4  
		 N F I A  
		 G R I K 2  
		 C R E B Z F  
		 P C D H 1 0  
		 N C K A P 1  
		 S C N 8 A  
		 N A V 3  
		 C P E B 2  
		 A P P B P 2  
		 T S H Z 2  
		 S Y T 1 1  
		 V C A N  
		 C D K 8  
		 T U L P 4  
		 L A R P 4 B  
		 R O B O 2  
		 S M A R C A 5  
		 P R K A A 1  
		 P L D 5  
		 Z N F 2 0 7  
		 B L O C 1 S 5  
		 G L C C I 1  
		 P C D H 7  
		 P P T C 7  
		 L D L R A D 4  
		 R O C K 1  
		 P D E 7 A  
		 P D E 4 D  
		 N C O A 7  
		 A T P 8 A 1  
		 B R W D 3  
		 H I P K 2  
		 A T P 1 B 1  
		 S E L T  
		 S R E K 1  
		 B T B D 3  
		 A B I 2  
		 T B C 1 D 1 2  
		 T M E D 5  
		 Z S W I M 6  
		 Z N F 2 4  
		 G R I D 2  
		 K I A A 1 5 4 9 L  
TargetScan8.0__miR-33a-5p.txt TargetScan8.0__miR-33b-5p.txt TargetScan8.0__miR-758-3p.txt	15	 M T D H  
		 M M P 1 6  
		 A C 0 1 2 2 1 5 . 1  
		 T F C P 2 L 1  
		 A D D 1  
		 D C U N 1 D 1  
		 S G I P 1  
		 T M E M 5 9  
		 C A M K 4  
		 C P E B 4  
		 U N C 5 D  
		 D C U N 1 D 5  
		 N D N F  
		 C D H 6  
		 R A S S F 8  
TargetScan8.0__miR-106-5p.txt TargetScan8.0__miR-144-3p.txt TargetScan8.0__miR-758-3p.txt	17	 

