Names	total	elements
hsa-miR-106-5p.txt hsa-miR-144-3p.txt hsa-miR-33a-5p.txt hsa-miR-33b-5p.txt hsa-miR-758-3p.txt	5	CAMTA1
		ZBTB20
		FAM126B
		ABCA1
		RORA
hsa-miR-106-5p.txt hsa-miR-144-3p.txt hsa-miR-33a-5p.txt hsa-miR-33b-5p.txt	21	ROCK2
		FRS2
		MSR1
		ZC3H12C
		PANK3
		WDFY3
		MAPK8
		RAP2C
		MRTFB
		PDE3B
		CADM2
		EIF5A2
		USP6
		PHF6
		EXPH5
		MAP3K2
		NAA30
		CREBRF
		RGMA
		RNF6
		MDM4
hsa-miR-106-5p.txt hsa-miR-33a-5p.txt hsa-miR-33b-5p.txt hsa-miR-758-3p.txt	3	BCL11B
		TSC22D2
		RBM41
hsa-miR-144-3p.txt hsa-miR-33a-5p.txt hsa-miR-33b-5p.txt hsa-miR-758-3p.txt	6	GRIK2
		CAMK4
		MBNL3
		RASA1
		RASSF8
		APLF
hsa-miR-106-5p.txt hsa-miR-33a-5p.txt hsa-miR-33b-5p.txt	45	MAP3K3
		CPEB3
		ABHD2
		MAPRE1
		USP32
		TENT5C
		DCUN1D5
		AHRR
		NCOA3
		RIMBP2
		PLEKHM3
		B3GALT2
		PAM
		KPNA4
		USP46
		KLHL15
		SNX9
		SKI
		PPP6C
		PTGFRN
		PDGFRA
		FAM117B
		ERC1
		AMER2
		FGL2
		NUFIP2
		SSH2
		RAPH1
		CNGB3
		DYNC1LI2
		ARMC8
		CROT
		SMAD7
		SAMD8
		MAP3K1
		HMGA2
		ITGA4
		ANKRD29
		TSPAN9
		ITFG1
		SOWAHC
		EGLN3
		EFCAB1
		ATP8B1
		EMSY
hsa-miR-144-3p.txt hsa-miR-33a-5p.txt hsa-miR-33b-5p.txt	74	RFX3
		IRS1
		PCDH18
		APPBP2
		QKI
		KCNQ5
		C5orf47
		EXOC1
		ASAP1
		FST
		RAB5A
		UBE2D3
		ARSK
		NAA15
		GLCCI1
		DMXL2
		LNPK
		RMDN1
		PHACTR2
		SYNCRIP
		PDE7A
		ERBIN
		PLG
		RABGAP1L
		SOCS5
		KCND2
		ZNF570
		SELENOT
		KMT2E
		ZBTB34
		SLC39A14
		ATP1B1
		LDLRAD4
		ANKRD28
		ARID5B
		PRKAA1
		RASEF
		PPTC7
		PIM1
		TMPO
		CDK6
		SMARCA5
		UNC79
		SLC1A2
		EBF1
		PTER
		SCAI
		KIAA2026
		ZRANB2
		CPED1
		ROCK1
		CPEB2
		GUCY1A2
		GSPT2
		LIMCH1
		TET2
		MTRF1L
		SIX4
		ETS1
		SH2B3
		FAT3
		HMGCLL1
		BACH1
		ROBO2
		HIPK2
		SCN8A
		KCNMB2
		SREK1
		NDUFA10
		MEIOC
		AGMAT
		STRN
		TENT5A
		GCNT1
hsa-miR-33a-5p.txt hsa-miR-33b-5p.txt hsa-miR-758-3p.txt	24	HNMT
		A1CF
		ADAM23
		WDR20
		PALM2-AKAP2
		AKAP2
		MAP4K3
		ADD1
		SSBP2
		ZNF615
		MIPOL1
		APH1B
		LYRM7
		STT3B
		SGIP1
		TSHZ2
		MTHFD2
		EDNRB
		TRAPPC13
		DENND1B
		IRX2
		SETD7
		MAP4K4
		SLC14A1
hsa-miR-106-5p.txt hsa-miR-33b-5p.txt hsa-miR-758-3p.txt	1	MID1
hsa-miR-106-5p.txt hsa-miR-144-3p.txt hsa-miR-758-3p.txt	20	SLMAP
		KPNA3
		ZBTB18
		SH3PXD2A
		ZBTB41
		KLF9
		TRIP11
		SRGAP1
		SHANK2
		ATXN1
		ZADH2
		ZNF704
		TRDN
		DGKH
		ZBTB7A
		RBL2
		PKN2
		ASXL3
		XIRP2
		ADAMTS5
hsa-miR-33a-5p.txt hsa-miR-33b-5p.txt	293	PNMA1
		ABRA
		KCNMA1
		NMBR
		WASF1
		ADAM12
		CRTAM
		CNGB1
		TMX4
		HCN1
		MSRB3
		XK
		CERK
		ZNF208
		RRP7A
		HMGN1
		CAND1
		TRIQK
		ATL2
		RAB33B
		CD1A
		CEP350
		SIRT6
		ABR
		CCNY
		MAOA
		DMRT3
